ratio	prob_real	prob_real_std	prob_null	prob_null_std	improve	imporove_std	mean_real	mean_real_std	mean_null	mean_null_std
1.0	0.4870244361485404	5.551115123125783e-17	0.1888611479696394	0.0005093215318608207	1.5787621524853714	0.006958919311440225	0.053726963142626566	6.938893903907228e-18	0.015679498065834782	8.072276111584258e-05	
0.9	0.4870244361485404	5.551115123125783e-17	0.21741976191079665	0.0004997861010640958	1.2400310181715706	0.005151210146171037	0.053726963142626566	6.938893903907228e-18	0.019390814553204693	8.722265212640413e-05	
0.8	0.4870244361485404	5.551115123125783e-17	0.24643318171565606	0.0005227467955341168	0.9763029590241721	0.004189574828985977	0.053726963142626566	6.938893903907228e-18	0.02314324492943457	8.703913622224861e-05	
0.7000000000000001	0.4870244361485404	5.551115123125783e-17	0.27581054417257755	0.0005889156035570115	0.7658014418075918	0.003770364798029742	0.053726963142626566	6.938893903907228e-18	0.02690416313924983	8.634112405376207e-05	
0.6000000000000001	0.4870244361485404	5.551115123125783e-17	0.30561714922910715	0.0004177292515760472	0.5935799016313283	0.0021795431908713287	0.053726963142626566	6.938893903907228e-18	0.030745963115048763	9.515146530287492e-05	
0.5000000000000001	0.4870244361485404	5.551115123125783e-17	0.33573822922235125	0.0004147148981048575	0.4506098405954623	0.0017916564795918504	0.053726963142626566	6.938893903907228e-18	0.034596748100152695	9.460628507881226e-05	
0.40000000000000013	0.4870244361485404	5.551115123125783e-17	0.3659189880548483	0.0005304018091169538	0.33096525669125154	0.0019300793869240582	0.053726963142626566	6.938893903907228e-18	0.03844722108536477	8.701619591636743e-05	
0.30000000000000016	0.4870244361485404	5.551115123125783e-17	0.39634378242393103	0.0004334146429962194	0.22879439528540033	0.001343518665565406	0.053726963142626566	6.938893903907228e-18	0.042315480773417	8.263706100504363e-05	
0.20000000000000015	0.4870244361485404	5.551115123125783e-17	0.4266470927525974	0.0003229781754208209	0.1415165447119901	0.0008637795157653684	0.053726963142626566	6.938893903907228e-18	0.04615418044560321	5.685479395542137e-05	
0.10000000000000014	0.4870244361485404	5.551115123125783e-17	0.456967404174444	0.00024878685089092133	0.06577531799484135	0.0005802107082232181	0.053726963142626566	6.938893903907228e-18	0.049974278247489394	5.4333367207509764e-05	
